format,k,x,quantized,abs_error,rel_error
tiny8,-10.400000,3.9810717055352952e-11,0.0000000000000000e0,3.9810717055352952e-11,1.0000000000000000e0
tiny8,-10.300000,5.0118723362731245e-11,0.0000000000000000e0,5.0118723362731245e-11,1.0000000000000000e0
tiny8,-10.200000,6.3095734448024336e-11,0.0000000000000000e0,6.3095734448024336e-11,1.0000000000000000e0
tiny8,-10.100000,7.9432823472434383e-11,0.0000000000000000e0,7.9432823472434383e-11,1.0000000000000000e0
tiny8,-10.000000,1.0000000000000777e-10,0.0000000000000000e0,1.0000000000000777e-10,1.0000000000000000e0
tiny8,-9.900000,1.2589254117942641e-10,0.0000000000000000e0,1.2589254117942641e-10,1.0000000000000000e0
tiny8,-9.800000,1.5848931924612342e-10,0.0000000000000000e0,1.5848931924612342e-10,1.0000000000000000e0
tiny8,-9.700000,1.9952623149690297e-10,0.0000000000000000e0,1.9952623149690297e-10,1.0000000000000000e0
tiny8,-9.600000,2.5118864315097671e-10,0.0000000000000000e0,2.5118864315097671e-10,1.0000000000000000e0
tiny8,-9.500000,3.1622776601686122e-10,0.0000000000000000e0,3.1622776601686122e-10,1.0000000000000000e0
tiny8,-9.400000,3.9810717055352625e-10,0.0000000000000000e0,3.9810717055352625e-10,1.0000000000000000e0
tiny8,-9.300000,5.0118723362730834e-10,0.0000000000000000e0,5.0118723362730834e-10,1.0000000000000000e0
tiny8,-9.200000,6.3095734448023819e-10,0.0000000000000000e0,6.3095734448023819e-10,1.0000000000000000e0
tiny8,-9.100000,7.9432823472433739e-10,0.0000000000000000e0,7.9432823472433739e-10,1.0000000000000000e0
tiny8,-9.000000,1.0000000000000695e-9,0.0000000000000000e0,1.0000000000000695e-9,1.0000000000000000e0
tiny8,-8.900000,1.2589254117942537e-9,0.0000000000000000e0,1.2589254117942537e-9,1.0000000000000000e0
tiny8,-8.800000,1.5848931924612212e-9,0.0000000000000000e0,1.5848931924612212e-9,1.0000000000000000e0
tiny8,-8.700000,1.9952623149690135e-9,0.0000000000000000e0,1.9952623149690135e-9,1.0000000000000000e0
tiny8,-8.600000,2.5118864315097466e-9,0.0000000000000000e0,2.5118864315097466e-9,1.0000000000000000e0
tiny8,-8.500000,3.1622776601685863e-9,0.0000000000000000e0,3.1622776601685863e-9,1.0000000000000000e0
tiny8,-8.400000,3.9810717055352295e-9,0.0000000000000000e0,3.9810717055352295e-9,1.0000000000000000e0
tiny8,-8.300000,5.0118723362730423e-9,0.0000000000000000e0,5.0118723362730423e-9,1.0000000000000000e0
tiny8,-8.200000,6.3095734448023300e-9,0.0000000000000000e0,6.3095734448023300e-9,1.0000000000000000e0
tiny8,-8.100000,7.9432823472433083e-9,0.0000000000000000e0,7.9432823472433083e-9,1.0000000000000000e0
tiny8,-8.000000,1.0000000000000614e-8,0.0000000000000000e0,1.0000000000000614e-8,1.0000000000000000e0
tiny8,-7.900000,1.2589254117942434e-8,0.0000000000000000e0,1.2589254117942434e-8,1.0000000000000000e0
tiny8,-7.800000,1.5848931924612082e-8,0.0000000000000000e0,1.5848931924612082e-8,1.0000000000000000e0
tiny8,-7.700000,1.9952623149689971e-8,0.0000000000000000e0,1.9952623149689971e-8,1.0000000000000000e0
tiny8,-7.600000,2.5118864315097260e-8,0.0000000000000000e0,2.5118864315097260e-8,1.0000000000000000e0
tiny8,-7.500000,3.1622776601685605e-8,0.0000000000000000e0,3.1622776601685605e-8,1.0000000000000000e0
tiny8,-7.400000,3.9810717055351973e-8,0.0000000000000000e0,3.9810717055351973e-8,1.0000000000000000e0
tiny8,-7.300000,5.0118723362730016e-8,0.0000000000000000e0,5.0118723362730016e-8,1.0000000000000000e0
tiny8,-7.200000,6.3095734448022777e-8,0.0000000000000000e0,6.3095734448022777e-8,1.0000000000000000e0
tiny8,-7.100000,7.9432823472432442e-8,0.0000000000000000e0,7.9432823472432442e-8,1.0000000000000000e0
tiny8,-7.000000,1.0000000000000532e-7,0.0000000000000000e0,1.0000000000000532e-7,1.0000000000000000e0
tiny8,-6.900000,1.2589254117942331e-7,0.0000000000000000e0,1.2589254117942331e-7,1.0000000000000000e0
tiny8,-6.800000,1.5848931924611951e-7,0.0000000000000000e0,1.5848931924611951e-7,1.0000000000000000e0
tiny8,-6.700000,1.9952623149689809e-7,0.0000000000000000e0,1.9952623149689809e-7,1.0000000000000000e0
tiny8,-6.600000,2.5118864315097056e-7,0.0000000000000000e0,2.5118864315097056e-7,1.0000000000000000e0
tiny8,-6.500000,3.1622776601685343e-7,0.0000000000000000e0,3.1622776601685343e-7,1.0000000000000000e0
tiny8,-6.400000,3.9810717055351646e-7,0.0000000000000000e0,3.9810717055351646e-7,1.0000000000000000e0
tiny8,-6.300000,5.0118723362729611e-7,0.0000000000000000e0,5.0118723362729611e-7,1.0000000000000000e0
tiny8,-6.200000,6.3095734448022272e-7,0.0000000000000000e0,6.3095734448022272e-7,1.0000000000000000e0
tiny8,-6.100000,7.9432823472431788e-7,0.0000000000000000e0,7.9432823472431788e-7,1.0000000000000000e0
tiny8,-6.000000,1.0000000000000451e-6,0.0000000000000000e0,1.0000000000000451e-6,1.0000000000000000e0
tiny8,-5.900000,1.2589254117942229e-6,0.0000000000000000e0,1.2589254117942229e-6,1.0000000000000000e0
tiny8,-5.800000,1.5848931924611823e-6,0.0000000000000000e0,1.5848931924611823e-6,1.0000000000000000e0
tiny8,-5.700000,1.9952623149689647e-6,0.0000000000000000e0,1.9952623149689647e-6,1.0000000000000000e0
tiny8,-5.600000,2.5118864315096848e-6,0.0000000000000000e0,2.5118864315096848e-6,1.0000000000000000e0
tiny8,-5.500000,3.1622776601685088e-6,0.0000000000000000e0,3.1622776601685088e-6,1.0000000000000000e0
