x,quantizer,quantized,abs_error,rel_error
-0.260000,profile_pos_fine_neg_coarse,-0.265625000000,5.625000000001e-3,2.163461538462e-2
-0.250000,bf16_like,-0.250000000000,6.661338147751e-16,2.664535259100e-15
-0.250000,f32_like,-0.250000000000,6.661338147751e-16,2.664535259100e-15
-0.250000,profile_pos_fine_neg_coarse,-0.250000000000,6.661338147751e-16,2.664535259100e-15
-0.240000,bf16_like,-0.240234375000,2.343750000007e-4,9.765625000028e-4
-0.240000,f32_like,-0.239999994636,5.364417354770e-9,2.235173897821e-8
-0.240000,profile_pos_fine_neg_coarse,-0.242187500000,2.187500000001e-3,9.114583333336e-3
-0.230000,bf16_like,-0.230468750000,4.687500000007e-4,2.038043478264e-3
-0.230000,f32_like,-0.230000004172,4.172325818175e-9,1.814054703554e-8
-0.230000,profile_pos_fine_neg_coarse,-0.226562500000,3.437499999999e-3,1.494565217391e-2
-0.220000,bf16_like,-0.219726562500,2.734374999993e-4,1.242897727270e-3
-0.220000,f32_like,-0.219999998808,1.192092202729e-9,5.418600921494e-9
-0.220000,profile_pos_fine_neg_coarse,-0.218750000000,1.249999999999e-3,5.681818181815e-3
-0.210000,bf16_like,-0.209960937500,3.906249999930e-5,1.860119047586e-4
-0.210000,f32_like,-0.209999993443,6.556510223632e-9,3.122147725539e-8
-0.210000,profile_pos_fine_neg_coarse,-0.210937500000,9.375000000007e-4,4.464285714289e-3
-0.200000,bf16_like,-0.200195312500,1.953125000007e-4,9.765625000036e-4
-0.200000,f32_like,-0.200000002980,2.980232949312e-9,1.490116474656e-8
-0.200000,profile_pos_fine_neg_coarse,-0.203125000000,3.125000000001e-3,1.562500000000e-2
-0.190000,bf16_like,-0.190429687500,4.296875000007e-4,2.261513157899e-3
-0.190000,f32_like,-0.189999997616,2.384185071591e-9,1.254834248206e-8
-0.190000,profile_pos_fine_neg_coarse,-0.187500000000,2.499999999999e-3,1.315789473684e-2
-0.180000,bf16_like,-0.179687500000,3.124999999993e-4,1.736111111107e-3
-0.180000,f32_like,-0.180000007153,7.152558101353e-9,3.973643389641e-8
